,Country,Mortality_rate,Cases_per_ML,Deaths_per_ML,Recovered_per_ML,Active_per_ML,Critical_per_ML,Tests_per_ML,Clust_mem
92,Luxembourg,0.019803747,8947.62804,177.1965589,6917.051258,1853.380224,6.385461581,550337.3918,0
93,Djibouti,0.011175414,5068.579058,56.64346982,4893.591196,118.3443923,0,54303.89222,0
94,CAR,0.012263099,927.9205394,11.37918164,278.8933973,637.6479604,0.413788423,5836.692606,0
95,Croatia,0.027617952,1058.753123,29.24059257,735.4009031,294.1116269,2.193044443,25123.51714,0
97,Albania,0.027383863,1421.307026,38.92087698,803.0905956,579.295553,5.907633114,10905.83824,0
98,Greece,0.048415273,384.5377625,18.61750085,131.85797,234.0622917,1.24756449,39419.77503,0
99,Paraguay,0.008331094,521.400908,4.343839868,268.7575763,248.2994918,1.401238667,14730.10111,0
100,Thailand,0.017851647,46.54139225,0.83084049,44.34969234,1.360859423,0.014324836,8647.287541,0
103,Equatorial Guinea,0.016606968,2186.39381,36.30937294,599.4606278,1550.623809,0,11391.17583,0
104,Zambia,0.040268456,161.927498,6.520570389,79.44228257,75.96464503,1.032423645,3765.412047,0
105,Maldives,0.005057316,5482.916261,27.72884151,4366.368243,1088.819177,22.18307321,124343.5197,0
106,Malawi,0.020295838,151.8087646,3.081086038,59.27173988,89.45593869,0.208887189,1213.11235,0
107,Lebanon,0.013990906,418.9748262,5.861837372,222.0170905,191.0958983,1.758551212,30761.75016,0
108,Mayotte,0.013299784,10187.64007,135.4934158,9488.201087,563.9455683,10.98595263,47605.79472,0
109,Sri Lanka,0.004038179,127.1844537,0.513593609,95.01481764,31.65604244,0.046690328,6327.426571,0
111,Mali,0.048888889,122.0865825,5.968677368,90.17142337,25.94648178,0,983.8945353,0
112,Cuba,0.035568275,215.9583891,7.681267314,203.7743099,4.502811874,0,19992.74959,0
113,South Sudan,0.019545455,196.4327632,3.839367644,104.9129531,87.68044247,0,1075.380091,0
114,Montenegro,0.014625229,3483.688124,50.9497349,612.988998,2819.749391,11.14525451,47179.45452,0
115,Cabo Verde,0.010268949,3676.29214,37.75165523,1749.160026,1889.380459,0,74845.35304,0
116,Estonia,0.034141514,1523.465209,52.01340891,1441.299099,30.15270082,0.75381752,86264.61558,0
117,Slovakia,0.01414856,362.4689502,5.128413646,280.2311742,77.10936232,0.36631526,43995.37857,0
118,Guinea-Bissau,0.013340174,989.4124241,13.19893434,407.6440105,568.5694792,2.538256604,761.4769811,0
119,Slovenia,0.057553957,936.0480973,53.87327179,754.225805,127.9490205,0.96202271,58637.20825,0
120,Lithuania,0.041407867,710.2737495,29.4109213,588.2184261,92.64440211,2.205819098,177036.4673,0
121,Iceland,0.005181347,5654.004236,29.29535874,5586.624911,38.08396636,0,331635.179,0
122,Hong Kong,0.006362672,251.470422,1.600023894,172.5359099,77.3344882,2.533371165,58968.34726,0
123,Libya,0.025723473,271.3984043,6.981309435,60.79556966,203.6215252,0,5837.392795,0
124,Eswatini,0.011712214,1544.724203,18.09214069,708.1780784,818.4539835,4.307652545,15127.61421,0
126,Zimbabwe,0.015518312,108.3202455,1.680947323,31.73628545,74.9030127,0,6816.241394,0
128,Benin,0.019350811,132.0100901,2.554502368,64.43938232,65.01620543,0.082403302,6001.597306,0
129,Rwanda,0.003160556,122.0224441,0.385658799,64.32788773,57.30889758,0,16215.87267,0
130,New Zealand,0.01416613,310.4696028,4.398152776,301.0735491,4.997900882,0,88460.44661,0
131,Mozambique,0.006706908,47.65355311,0.319608002,15.0854977,32.24844741,0,1487.967014,0
132,Tunisia,0.036390102,116.2005466,4.22854973,92.77438108,19.19761577,0,7088.99448,0
133,Namibia,0.002405774,490.3903932,1.179768388,13.76396453,475.4466603,0.393256129,6958.273952,0
134,Jordan,0.009031199,119.3195377,1.077598452,100.3146196,17.92731971,0.293890487,50346.57525,0
135,Latvia,0.026006711,632.3567171,16.44551865,542.1716148,73.73958362,0,95982.41284,0
136,Niger,0.0625,45.55269719,2.847043574,41.83916209,0.866491523,0,373.4991077,0
138,Uganda,0,23.25708358,0,22.33990282,0.917180761,0,5279.336136,0
139,Uruguay,0.031309298,303.3675816,9.49822599,265.3746777,28.49467797,0.86347509,25505.90286,0
141,Cyprus,0.018304432,859.4259068,15.73130273,699.6289896,144.0656144,0,148765.1341,0
142,Suriname,0.020408163,1753.336707,35.78238178,1068.359685,649.1946408,8.519614709,2119.68014,0
143,Georgia,0.01459144,257.7239466,3.760563423,225.3831011,28.58028201,1.253521141,41186.94413,0
146,Togo,0.019280206,93.8878412,1.810176887,66.49383098,25.58383333,0.241356918,4591.332656,0
147,Jamaica,0.012919897,261.3268652,3.376316088,229.2518624,28.69868675,0,10205.25301,0
148,Sao Tome and Principe,0.018766756,3401.236482,63.83017526,2056.243503,1281.162803,0,9679.390148,0
150,Angola,0.041134752,21.42663196,0.881379187,6.716717253,13.82853552,0.182354315,303.9238576,0
152,Malta,0.013293944,1533.054651,20.38034248,1499.087414,13.58689499,0,254534.6262,0
153,Réunion,0.00477707,701.1902369,3.34963489,527.0092227,170.8313794,4.466179853,39546.90605,0
155,Botswana,0.001915709,221.787334,0.42487995,20.39423761,200.9682164,0.42487995,21829.90696,0
158,Taiwan,0.015384615,19.10242291,0.293883429,18.4726727,0.335866776,0,3337.927991,0
159,Vietnam,0,3.93304374,0,3.666048604,0.266995136,0.010269044,2823.98702,0
160,Lesotho,0.016713092,167.5173187,2.799732346,32.19692197,132.5206644,0,3467.935132,0
161,Mauritius,0.029154519,269.6805897,7.862407862,260.2457002,1.572481572,0,161403.4398,0
162,Myanmar,0.017595308,6.265216921,0.110238421,5.070967361,1.084011139,0,1883.221317,0
164,Guyana,0.056547619,427.0788316,24.15029107,207.1840761,195.7444645,6.355339756,4683.885401,0
166,Burundi,0.003225806,26.0422114,0.084007134,17.38947664,8.568727622,0,562.5957734,0
167,Mongolia,0,87.48397016,0,64.92712768,22.55684248,3.657866348,9023.651459,0
168,Martinique,0.057251908,698.2011992,39.9733511,261.1592272,397.0686209,13.32445037,32583.61093,0
170,Cayman Islands,0.004926108,3087.123804,15.20750643,3041.501285,30.41501285,0,419681.5548,0
171,Guadeloupe,0.071794872,487.3440499,34.98880358,429.862444,22.4928023,9.996801024,33916.64667,0
172,Faeroe Islands,0,3908.168276,0,3846.783434,61.38484204,0,578265.6736,0
173,Gibraltar,0,5342.831701,0,5342.831701,0,0,525972.0985,0
174,Cambodia,0,10.22155,0,8.129419886,2.092130118,0.059775146,3105.378621,0
175,Bahamas,0.071895425,388.8963731,27.95986996,231.3043788,129.6321244,2.54180636,6723.077822,0
176,Bermuda,0.058823529,2457.199756,144.5411621,2200.23769,112.4209039,16.06012912,261442.842,0
177,Brunei,0.021276596,322.1561155,6.854385436,315.30173,0,0,81039.39901,0
178,Trinidad and Tobago,0.058394161,97.87706783,5.715449216,88.58946285,3.57215576,0,4334.4538,0
179,Aruba,0.026548673,1058.161421,28.09278109,936.4260364,93.64260364,0,46605.92383,0
180,Monaco,0.036697248,2776.716342,101.8978474,2496.497261,178.321233,0,973353.7129,0
182,Barbados,0.066666667,365.3533663,24.35689109,316.6395841,24.35689109,0,33038.38298,0
183,Gambia,0.043010753,38.44222196,1.653428902,20.25450404,16.53428902,0,1521.567947,0
